[2715] Ref:    220000, Adder Tree:    220000, Symmetric:    220000
[3665] Ref:    -44800, Adder Tree:    -44800, Symmetric:    -44800
[3675] Ref:    -14400, Adder Tree:    -14400, Symmetric:    -14400
[3685] Ref:     31200, Adder Tree:     31200, Symmetric:     31200
[3695] Ref:     94400, Adder Tree:     94400, Symmetric:     94400
[3705] Ref:    177600, Adder Tree:    177600, Symmetric:    177600
[3715] Ref:    281600, Adder Tree:    281600, Symmetric:    281600
[3725] Ref:    407200, Adder Tree:    407200, Symmetric:    407200
[3735] Ref:    553600, Adder Tree:    553600, Symmetric:    553600
[3745] Ref:    720000, Adder Tree:    720000, Symmetric:    720000
[3755] Ref:    904000, Adder Tree:    904000, Symmetric:    904000
[3765] Ref:   1102400, Adder Tree:   1102400, Symmetric:   1102400
[3775] Ref:   1312000, Adder Tree:   1312000, Symmetric:   1312000
[3785] Ref:   1528000, Adder Tree:   1528000, Symmetric:   1528000
[3795] Ref:   1746400, Adder Tree:   1746400, Symmetric:   1746400
[3805] Ref:   1962400, Adder Tree:   1962400, Symmetric:   1962400
[3815] Ref:   2172000, Adder Tree:   2172000, Symmetric:   2172000
[3825] Ref:   2370400, Adder Tree:   2370400, Symmetric:   2370400
[3835] Ref:   2554400, Adder Tree:   2554400, Symmetric:   2554400
[3845] Ref:   2720800, Adder Tree:   2720800, Symmetric:   2720800
[3855] Ref:   2867200, Adder Tree:   2867200, Symmetric:   2867200
[3865] Ref:   2992800, Adder Tree:   2992800, Symmetric:   2992800
[3875] Ref:   3096800, Adder Tree:   3096800, Symmetric:   3096800
[3885] Ref:   3180000, Adder Tree:   3180000, Symmetric:   3180000
[3895] Ref:   3243200, Adder Tree:   3243200, Symmetric:   3243200
[3905] Ref:   3288800, Adder Tree:   3288800, Symmetric:   3288800
[3915] Ref:   3319200, Adder Tree:   3319200, Symmetric:   3319200
[3925] Ref:   3336800, Adder Tree:   3336800, Symmetric:   3336800
[3935] Ref:   33440  1988833
[1265] Ref:   2027090, Adder Tree:   2027090, Symmetric:   2027090
[1275] Ref:   1975470, Adder Tree:   1975470, Symmetric:   1975470
[1285] Ref:   1844072, Adder Tree:   1844072, Symmetric:   1844072
[1295] Ref:   1627374, Adder Tree:   1627374, Symmetric:   1627374
[1305] Ref:   1333961, Adder Tree:   1333961, Symmetric:   1333961
[1315] Ref:    987112, Adder Tree:    987112, Symmetric:    987112
[1325] Ref:    597730, Adder Tree:    597730, Symmetric:    597730
[1335] Ref:    177899, Adder Tree:    177899, Symmetric:    177899
[1345] Ref:   -249189, Adder Tree:   -249189, Symmetric:   -249189
[1355] Ref:   -663866, Adder Tree:   -663866, Symmetric:   -663866
[1365] Ref:  -1048540, Adder Tree:  -1048540, Symmetric:  -1048540
[1375] Ref:  -1387490, Adder Tree:  -1387490, Symmetric:  -1387490
[1385] Ref:  -1668174, Adder Tree:  -1668174, Symmetric:  -1668174
[1395] Ref:  -1872387, Adder Tree:  -1872387, Symmetric:  -1872387
[1405] Ref:  -1990331, Adder Tree:  -1990331, Symmetric:  -1990331
[1415] Ref:  -2026409, Adder Tree:  -2026409, Symmetric:  -2026409
[1425] Ref:  -1973777, Adder Tree:  -1973777, Symmetric:  -1973777
[1435] Ref:  -1826377, Adder Tree:  -1826377, Symmetric:  -1826377
[1445] Ref:  -1601681, Adder Tree:  -1601681, Symmetric:  -1601681
[1455] Ref:  -1311825, Adder Tree:  -1311825, Symmetric:  -1311825
[1465] Ref:   -957894, Adder Tree:   -957894, Symmetric:   -957894
[1475] Ref:   -559929, Adder Tree:   -559929, Symmetric:   -559929
[1485] Ref:   -142735, Adder Tree:   -142735, Symmetric:   -142735
[1495] Ref:    281869, Adder Tree:    281869, Symmetric:    281869
[1505] Ref:    696763, Adder Tree:    696763, Symmetric:    696763
[1515] Ref:   1079944, Adder Tree:   1079944, Symmetric:   1079944
[1525] Ref:   1414535, Adder Tree:   1414535, Symmetric:   1414535
[1535] Ref:   1685248, Adder Tree:   1685248, Symmetric:   1685248
[1545] Ref:   1883286, Adder Tree:   1883286, Symmetric:   1883286
[1555] Ref:   2000850, Adder Tree:   2000850, Symmetric:   2000850
[1565] Ref:   2025120, Adder Tree:   2025120, Symmetric:   2025120
[1575] Ref:   1958703, Adder Tree:   1958703, Symmetric:   1958703
[1585] Ref:   1812785, Adder Tree:   1812785, Symmetric:   1812785
[1595] Ref:   1583959, Adder Tree:   1583959, Symmetric:   1583959
[1605] Ref:   1278994, Adder Tree:   1278994, Symmetric:   1278994
[1615] Ref:    923732, Adder Tree:    923732, Symmetric:    923732
[1625] Ref:    530068, Adder Tree:    530068, Symmetric:    530068
[1635] Ref:    106315, Adder Tree:    106315, Symmetric:    106315
[1645] Ref:   -320904, Adder Tree:   -320904, Symmetric:   -320904
[1655] Ref:   -729769, Adder Tree:   -729769, Symmetric:   -729769
[1665] Ref:  -1108624, Adder Tree:  -1108624, Symmetric:  -1108624
[1675] Ref:  -1439915, Adder Tree:  -1439915, Symmetric:  -1439915
[1685] Ref:  -1707122, Adder Tree:  -1707122, Symmetric:  -1707122
[1695] Ref:  -1897788, Adder Tree:  -1897788, Symmetric:  -1897788
[1705] Ref:  -2002974, Adder Tree:  -2002974, Symmetric:  -2002974
[1715] Ref:  -2023113, Adder Tree:  -2023113, Symmetric:  -2023113
[1725] Ref:  -1955069, Adder Tree:  -1955069, Symmetric:  -1955069
[1735] Ref:  -1794496, Adder Tree:  -1794496, Symmetric:  -1794496
[1745] Ref:  -1556684, Adder Tree:  -1556684, Symmetric:  -1556684
[1755] Ref:  -1256310, Adder Tree:  -1256310, Symmetric:  -1256310
[1765] Ref:   -894496, Adder Tree:   -894496, Symmetric:   -894496
[1775] Ref:   -490035, Adder Tree:   -490035, Symmetric:   -490035
[1785] Ref:    -71289, Adder Tree:    -71289, Symmetric:    -71289
[1795] Ref:    351646, Adder Tree:    351646, Symmetric:    351646
[1805] Ref:    764545, Adder Tree:    764545, Symmetric:    764545
[1815] Ref:   1140460, Adder Tree:   1140460, Symmetric:   1140460
ree:   3274400, Symmetric:   3274400
[4505] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4515] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4525] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4535] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4545] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4555] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4565] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4575] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4585] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
[4595] Ref:   3274400, Adder Tree:   3274400, Symmetric:   3274400
